Site_ID,BeforeAfter,Date,SampleH_top_cm,SampleH_bottom_cm,WeightA_g,WeightB_g,WeightC_g,AvgWeight_g,TotalDepth_cm,Cutter_volume_cm3,Density_kgm3,SWE_layer_mm,SWE_site_mm
AMC_clearing1,Before,2024-01-08,27,17,22,19,24,21.7,27,250,86.7,8.7,37.9
AMC_clearing1,Before,2024-01-08,17,7,47,50,,48.5,27,250,194.0,19.4,37.9
AMC_clearing2,Before,2024-01-08,27,17,39,22,21,27.3,27,250,109.3,10.9,43.6
AMC_clearing2,Before,2024-01-08,17,7,55,52,53,53.3,27,250,213.3,21.3,43.6
AMC_clearing3,Before,2024-01-08,19,9,27,24,,25.5,19,250,102.0,10.2,28.2
AMC_clearing3,Before,2024-01-08,10,0,54,44,48,48.7,19,250,194.7,19.5,28.2
AMC_clearing4,Before,2024-01-08,13,3,21,23,,22.0,13,250,88.0,8.8,11.4
AMC_forest,After,2024-01-11,28.5,18.5,244,229,,236.5,28.5,1000,236.5,23.7,62.2
AMC_forest,After,2024-01-11,18.5,8.5,199,201,,200.0,28.5,1000,200.0,20.0,62.2
AMC_forest,Before,2024-01-08,23,13,18,18,,18.0,23,250,72.0,7.2,26.4
AMC_forest,Before,2024-01-08,13,3,45,34,39,39.3,23,250,157.3,15.7,26.4
AMC_clearing1,After,2024-01-11,35,25,276,287,,281.5,35,1000,281.5,28.2,97.9
AMC_clearing1,After,2024-01-11,25,15,293,306,,299.5,35,1000,299.5,30.0,97.9
AMC_clearing1,After,2024-01-11,15,5,254,262,,258.0,35,1000,258.0,25.8,97.9
AMC_clearing2,After,2024-01-11,33.7,23.7,294,283,,288.5,33.7,1000,288.5,28.9,92.7
AMC_clearing2,After,2024-01-11,23.7,13.7,253,273,269,265.0,33.7,1000,265.0,26.5,92.7
AMC_clearing2,After,2024-01-11,13.7,3.7,278,266,,272.0,33.7,1000,272.0,27.2,92.7
AMC_clearing3,After,2024-01-11,29.7,19.7,291,277,,284.0,29.7,1000,284.0,28.4,88.0
AMC_clearing3,After,2024-01-11,19.7,9.7,358,304,264,308.7,29.7,1000,308.7,30.9,88.0
AMC_clearing4,After,2024-01-11,25.5,15.5,317,262,338,305.7,25.5,1000,305.7,30.6,89.5
AMC_clearing4,After,2024-01-11,15.5,5.5,431,382,377,396.7,25.5,1000,396.7,39.7,89.5
AMC_creek,Before,2024-01-08,17,7,36,39,34,36.3,17,250,145.3,14.5,24.7
AMC_creek ,After,2024-01-11,26.5,16.5,325,355,,340.0,26.5,1000,340.0,34.0,85.1
AMC_creek,After,2024-01-11,16.5,6.5,305,300,,302.5,26.5,1000,302.5,30.3,85.1
AMC_clearing5a,Before,2024-01-08,23,13,25,19,22,22.0,23,250,88.0,8.8,26.7
AMC_clearing5a,Before,2024-01-08,13,3,35,37,,36.0,23,250,144.0,14.4,26.7
AMC_clearing5b,Before,2024-01-08,19,9,31,28,32,30.3,19,250,121.3,12.1,23.1
AMC_clearing5,After,2024-01-11,37,27,292,297,,294.5,37,1000,294.5,29.5,90.7
AMC_clearing5,After,2024-01-11,27,17,217,191,,204.0,37,1000,204.0,20.4,90.7
AMC_clearing5,After,2024-01-11,17,7,215,258,,236.5,37,1000,236.5,23.7,90.7